state,stay,flap
115,0.00000000,0.00000000
116,0.00000000,0.00000000
117,0.00000000,0.00000000
118,0.00000000,0.00000000
119,0.00000000,0.00000000
120,0.00000000,0.00000000
121,0.00000000,0.00000000
122,0.04946434,0.00000000
123,0.00000000,0.00000000
124,0.00000000,0.00000000
125,0.00000000,0.00000000
126,0.00000000,0.00000000
127,0.00000000,0.00000000
128,0.00000000,0.00000000
129,0.00000000,0.00000000
130,0.00000000,0.00000000
131,0.00000000,0.00000000
132,0.02154512,0.00000000
133,0.00000000,0.00000000
134,0.00000000,0.00000000
135,0.08626560,0.00000000
136,0.01673209,0.00000000
137,0.02355200,0.00000000
138,0.00000000,0.00000000
139,0.00000000,0.00000000
140,0.00000000,0.00000000
141,0.00000000,0.00000000
142,0.00000000,0.00000000
143,0.00000000,0.00000000
144,0.00000000,0.00000000
145,0.00000000,0.00000000
146,0.00000000,0.00000000
147,0.00000000,0.00000000
148,0.00000000,0.00000000
149,0.00000000,0.00000000
150,0.00000000,0.00000000
151,0.00000000,0.00000000
152,0.00000000,0.00000000
153,0.00000000,0.00000000
154,0.00000000,0.00000000
155,0.00000000,0.00000000
156,0.00000000,0.00000000
157,0.00000000,0.00000000
158,0.00000000,0.00000000
159,0.00000000,0.00000000
160,0.00000000,0.00000000
161,0.00000000,0.00000000
162,0.00000000,0.00000000
163,0.00000000,0.00000000
164,0.03331102,0.00000000
165,0.00000000,0.00000000
166,0.00000000,0.00000000
167,0.00000000,0.00000000
168,0.00000000,0.00000000
169,0.00000000,0.00000000
170,0.00000000,0.00000000
171,0.01280000,0.00000000
172,-16.00000000,0.00000000
173,-15.98924800,0.00000000
174,0.02355200,0.00000000
175,0.00000000,0.00000000
176,-16.00000000,0.00000000
177,0.00000000,0.00000000
178,0.00000000,0.00000000
179,0.04198907,0.00000000
180,0.00000000,0.00000000
181,0.01280000,0.00000000
182,0.00000000,0.00000000
183,0.00000000,0.00000000
184,0.00000000,0.00000000
185,-15.98271060,0.05540981
186,-16.00000000,0.13906959
187,0.00000000,0.00000000
188,-15.94769849,0.12753492
189,0.03258368,0.00000000
190,0.00000000,0.00000000
191,0.01280000,0.00000000
192,0.01280000,0.09163240
193,0.03858003,0.00000000
194,0.00000000,0.00000000
195,-15.98021632,3.63442533
196,0.00000000,0.00000000
197,0.00000000,0.00000000
198,-16.00000000,0.00000000
199,-16.00000000,0.13182773
200,-15.98021632,0.15858306
201,-15.96602448,0.00000000
202,0.00000000,0.00000000
203,0.00000000,0.00000000
204,0.17946708,0.00000000
205,-15.77921724,7.69872917
206,0.00000000,0.00000000
207,0.06957026,0.00000000
208,0.00000000,0.00000000
209,0.02677483,7.28550261
210,0.00000000,0.00000000
211,0.00000000,0.00000000
212,0.00000000,0.00000000
213,0.09110752,0.00000000
214,0.00000000,0.00000000
215,0.05655613,0.00000000
216,0.00000000,0.00000000
217,0.00000000,0.00000000
218,0.03236384,0.00000000
219,0.13109504,0.00000000
220,0.00000000,0.00000000
221,0.02469728,0.00000000
222,0.02830742,0.00000000
223,3.17709597,0.00000000
224,0.00000000,0.00000000
225,0.00000000,0.00000000
226,0.00000000,0.00000000
227,0.00000000,0.00000000
228,0.00000000,0.00000000
229,0.00000000,0.00000000
230,0.00000000,0.00000000
231,0.00000000,0.00000000
232,0.00000000,0.00000000
233,0.00000000,0.00000000
234,0.00000000,0.00000000
235,0.00000000,0.00000000
236,0.00000000,0.00000000
237,0.00000000,0.00000000
238,0.00000000,0.00000000
239,0.00000000,0.00000000
240,0.00000000,0.00000000
241,0.00000000,0.00000000
242,0.00000000,0.00000000
243,0.00000000,0.00000000
244,0.00000000,0.00000000
